EAN;SKU PRINCIPAL;TÍTULO;PREÇO_ATUAL
7908156901123;18793;7908156901123;946.22
7898461975189;19008;Ar Condicionado Split 12.000BTUs Agratto LCST12F, Frio, Liv Inverter, 220V;0.0
7898461975189;19008;Ar Condicionado Split 12.000BTUs Agratto LCST12F, Frio, Liv Inverter, 220V;1959.99
7898461976735;20825;Ar Condicionado Split 24.000 BTUs Agratto LCST24F Liv Top - Inverter, Ciclo Frio, Branco, 220V;0.0
7898461976735;20825;Ar Condicionado Split 24.000 BTUs Agratto LCST24F Liv Top - Inverter, Ciclo Frio, Branco, 220V;3899.99
7898461976728;20844;Ar Condicionado Split 30.000 BTUs Agratto LCST30F - Ciclo Frio, Inverter, Interno e Externo 220V;0.0
7898461976728;20844;Ar Condicionado Split 30.000 BTUs Agratto LCST30F - Ciclo Frio, Inverter, Interno e Externo 220V;4999.99
7898461976766;20843;Ar Condicionado Split Agratto 18.000 BTUs LCST18F - Inverter, Ciclo Frio, 220V;0.0
7898461976766;20843;Ar Condicionado Split Agratto 18.000 BTUs LCST18F - Inverter, Ciclo Frio, 220V;2899.99
7898461976605;20823;Ar Condicionado Split Agratto Cassete Inverter 36.000 BTU/h Frio Monofásico Branco LCI36F-02 - 220V;9299.99
7898461976605;20823;Ar Condicionado Split Agratto Cassete Inverter 36.000 BTU/h Frio Monofásico Branco LCI36F-02 - 220V;0.0
7898461976599;19902;Ar Condicionado Split Piso Teto Inverter Agratto 55000 BTU/h Frio LPTI60F02 ¿ 220 Volts;0.0
7898461976599;19902;Ar Condicionado Split Piso Teto Inverter Agratto 55000 BTU/h Frio LPTI60F02 ¿ 220 Volts;9600.0
7898461976599;19902;Ar Condicionado Split Piso Teto Inverter Agratto 55000 BTU/h Frio LPTI60F02 ¿ 220 Volts;10899.99
7893455022061;19243;Armário Multiuso Lavanderia 626 C/ 2 Portas Legno - Carraro;319.13
7893455096840;19696;Armário Sapateira Utilitário Multiuso 2 Portas 5 Prateleiras Espelho Carraro;499.98
7893455022054;19242;Armário Utilitário Multiuso 2 Portas Noce Carraro;319.13
7898578150806;20582;Aspirador De Pó Vertical Turbo Cycle, Mondial, Preto/Laranja, 1100W, 110V - Ap-35;319.13
7893336006029;19596;Balança Comercial Urano Pop-Z Computadora com Bateria e Porta Serial 31kg/2g;840.41
7893336005732;18722;Balança Computadora 31kg/2g Urano POP-S com Bateria e Porta Serial;840.41
7898490164028;16209;Balança de Controle Corporal Mondial BL-03 Elegance - Display LCD, Pés Antiderrapantes;95.73
7899882305869;19555;Balança Digital Smart, Mondial, Preto, 3V, Bateria - Bl-05;95.73
7899882311044;18556;Batedeira Mondial, 127V, Potência 400W, 60Hz, Preto - B-45-B;148.92
7899882310986;17380;Batedeira Mondial Prática B44B - 3 Velocidades + Turbo, 1 Tigela, 400W, Preta, 110V;148.92
7899882313482;20570;Batedeira, Mondial, Vermelho/Inox, 110V, 500W - B-55-R;212.65
7899882311068;18548;Batedeira Pratic Due, Mondial, Vermelho, 400W, - B-45-R;148.92
7899081738468;15854;Bebedouro De Coluna Esmaltec Egc35 Linha Estilo Amarelo- 127V;892.46
7899081722658;10305;Bebedouro de Coluna Esmaltec Garrafao Branco ECG35B;0.0
7899081722658;10305;Bebedouro de Coluna Esmaltec Garrafao Branco ECG35B;799.99
7899081722689;15856;Bebedouro Esmaltec Coluna Natural e Frio Preto Inox 127V EGC35B;0.0
7899081722689;15856;Bebedouro Esmaltec Coluna Natural e Frio Preto Inox 127V EGC35B;859.99
7898964244140;19216;Bebedouro Max Branco - 127v;739.99
7893455107201;19699;Buffet Carraro Átria 2P Freijo 1295;489.35
7893455040706;19313;Cabideiro De Metal Ouro Velho Carraro;170.2
7893455030721;19312;Cabideiro De Metal Preto Fosco Carraro;170.2
7898551181179;19530;Cadeira Gamer Viper Pro Preto e Verde Python;0.0
7898551181179;19530;Cadeira Gamer Viper Pro Preto e Verde Python;847.99
7898683603488;20805;Cadeira Tramontina Bistrô Atlântida Leve Branco Tramontina;43.0
